id,judul,foto,penerbit,isbn,tempat_terbit
,PEMEROGRAMAN BERORIENTASI OBJEK MENGGUNAKAN DELPHI,,Andi,979-731-142-2,Yogyakarta
,Human communication : theory and research,,Wadsworth Publiching Company,0-534-12396-1,Jakarta
,STRUKTUR DATA MENGGUNAKAN TURBO PASCAL 6.0,,Andi,979-731-526-6,Yogyakarta
,A social psychology of organizing,,Gajah mada university press,0-7450-1054-7,Bandung
,"Ilmu alamiah dasar,Ilmu sossial dasar ,Ilmu budaya dasar",,Pustaka Setia,979-730-148-6,Bandung
,Algebra linier dengan penggunaan,,Depdikbud,983-62-4188-4,Semarang
,Aljabar linier elementer,,Erlangga,979-741-419-1,Jakarta
,Pengendalian sosial,,Gramedia Pustaka Utama,979-421-092-7,Jakarta
,Pengantar ekonomi jilid 1,,Gramedia Pustaka Utama,979-688-078-4,Jakarta
,Metode statistika untuk bisnis dan ekonomi,,Gramedia Pustaka Utama,979-655-924,Jakarta
,The end of economic man,,Norton,0-393-30952-5,Leiden
,Economics,,Tiara Wacana,0-201-05931-2,Jakarta
,ANALISA DESAIN & PEMEROGRAMAN BERORIENTASI DENGAN UML DAN VISUAL BASIC. NET,,Andi,97 9-731-072-8,Yogyakarta
,SQL SERVER DENGAN VISUAL BASIC 6 UNTUK ORANG AWAM,,Maxikom,979-3767-71-5,Palembang
,DASAR PEMROGRAMAN DELPHI,,Andi,979-763-319-5,Yogyakarta
,MERANCANG RUMAH CANTIK DENGAN ARCHI CAD 9,,Gramedia Pustaka Utama,979-3767-30-8,Palembang
,KONSEP DAN PENERAPAN MICROSOFT TCP/IP,,Andi,979-763-179-6,Yogyakarta
,Aljabar linier,,Erlangga,979-741-502-3,Jakarta
,APLIKASI PENJUALAN BERBASIS ACDCESS 2003,,Gremedia,979-20-8301-4,Jakarta
,B020070 APLIKASI PEMETAAN DIGITAL DAN REKAYASA TEKNIK SIPIL DENGAN AUTO CAD LAND DEVELOPMENT,,ITB Bandung,979-3507-7 7-2,Bandung
,PEMROGRAMAN VBA MICROSOFT OFFICE EXCEL 2007,,PT. Elex Media Komputindo,978-979-27-1257-5,Jakarta
,Analisis input output,,Fakultas Ekonomi UI,979-8140-79-6,Jakarta
,Economics,,Prentice Hall,0-13-224345-8,Leiden
,KURSUS KILAT 24 JURUS INTERNET DAN INTRANET,,dinastindo,979-552-324-4,Jakarta
,MEMBUAT HOMEPAGE PRIBADI DENGAN CFML,,Andi,979-533-850-1,Yogyakarta
,Bayang-bayang ekonomi klasik,,Gramedia Pustaka Utama,979-8439-05-8,Jakarta
,Pengantar topologi,,Andi Offset,979-533-252-x,Yogyakarta
,MICROSOFT OFFICE POWERPOINT 2003,,Angkasa,979-731-640-8,Madiun
,LINUK SEMUDAH WINDOWS,,PT. Elex Media Komputindo,979-20-3371-8,Jakarta
,Demokrasi ekonomi sebuah pengantar,,Gajah mada university press,979-461-121-2,Jakarta
,Ekonomi teknik,,Gramedia Pustaka Utama,979-769-045-8,Jakarta
,Biosintesis produk alami,,Ikip Semarang Press,979-8107-44-0,Semarang
,Batas-batas pengobatan : perampasan hak untuk sehat,,Yayasan Obor Indonesia,979-161-217-0,Jakarta
,Surveys in economics,,Blackwell,0-631-17973-9,Leiden
,30 jenis hewan penakluk penyakit,,Penebar swadaya,979-489-939-9,Jakarta
,Biokimia : Suatu Pendekatan Beriorentasi Kasus,,Gajah mada university press,979-420-289-4,Yogyakarta
,The new world of economics,,Homewood,0-256-03095-2,Jakarta
,B020066 Jangan makan plastik : mengenali potensi racun plastik dalam makanan,,Mata Buku,979-99596-3-2,Bandung
,Kesehatan masyarakat : suatu pengantar,,EGC,979-448-836-4,Jakarta
,Analisis farmasi metode modern,,Air Langga,979-8007-30-1,Surabaya
,Teori makro ekonomi,,Gramedia Pustaka Utama,979-688-076-8,Jakarta
,Analisis farmasi,,Gramedia Pustaka Utama,979-420-089-1,Jakarta
,Kalkulus,,Erlangga,979-741-012-9,Jakarta
,Kalkulus peubah banyak dan kegunaannya,,ITB Bandung,979-9299-27-6,Bandung
,Kalkulus,,Erlangga,979-411-740-4,Jakarta
,Kalkulus,,Erlangga,979-781-367-3,Jakarta
,"Analisis matematik, penerapan bisnis dan ekonomi",,Erlangga,24-00-041-6,Jakarta
,Linux tanpa pertisi,,Andi Offset,979-731-004-3,Yogyakarta
,Metode numerik,,beta offset,979-854-00-6,Yogyakarta
,Kalkulus Lanjutan,,Universitas Indonesia,979-8034-94-5,Jakarta
,Intisari prinsip-prinsip ilmu bedah,,Linda Chandranata,979-448-397-4,Jakarta
,Farmakologi & terapi pediatri,,HIpokrates,979-492-095-9,Jakarta
,Ilmu meracik obat : teori dan praktek,,Gramedia Pustaka Utama,979-420-432-3,Yogyakarta
,Apa yang perlu diketahui tentang obat,,Gramedia Pustaka Utama,979-420-529-X,Yogyakarta
,Kalkulus lanjuta,,Erlangga,978-979-015-673-9,Jakarta
,Interaksi obat,,ITB Bandung,979-8001-33-8,Bandung
,"Kalkulus,dan geometri analisis",,Erlangga,24-00-065-5,Jakarta
,Farmakologi : dasar dan kllinik,,Salemba Medika,979-96399-3-x,Jakarta
,Asas-asas kimia medisinal,,Gramedia Pustaka Utama,979-420-200-2,Yogyakarta
,Farmakologi dan terapi,,Gramedia Pustaka Utama,976-496-11-24,Jakarta
,Identifikasi obat,,Gramedia Pustaka Utama,979-9299-08-3,Bandung
,A successful foreign language guide,,Pustaka pelajar,979-3237-74-0,Wonosari
,Chasing vermeer,,Scholastic,978-0-439-37297-8,Bandung
,Melacak alam,,Angkasa,978-979-665-475-5,Bandung
,AKSES INTERNET VIA PONSEL,,ITB Bandung,979-731-718-8,Yogyakarta
,INTERACTIVE KOMPUTING SERIES MICROSOFT WORD 2002,,Gramedia Pustaka Utama,0-07-247252-9,Jakarta
,S020063 NETWORK PROGRAMMING FOR MICROSOFT WINDOW,,Microsoft,0-7356-1579-9,wasington
,MENGUASI STATISTIK DI ERA INFORMASI DENGAN SPSS 14,,Pustaka Delapratasa,979-20-8307-3,Jakarta
,Farmasi dan klinik : Teori & penerapan,,Gramedia Pustaka Utama,979-448-736-8,Jakarta
,Pengembangan sediaan farmasi,,Gramedia Pustaka Utama,978-979-1344-29-6,Bandung
,Perkembangan anak & remaja,,Rineka Cipta,979-518-907-7,Jakarta
,Obat dan anak,,Gramedia Pustaka Utama,979-3507-55-1,Bandung
,Feminism,,Enward Elgar company,1-85278-565-9,London
,Interaksi obat,,Gramedia Pustaka Utama,979-8001-33-8,Bandung
,Changing our lives,,Pluto Press,0-7453-0752-3,Leiden
,Obat dan penerbangan,,Gramedia Pustaka Utama,979-3507-56-x,Bandung
,Analisis vektor dan tensor dengan penggunaanya,,Dewan bahasa dan pustaka,983-62-4551-0,Kualalumpur
,Pengantar metabolisme obat,,Uip-press,979-456-083-9,Jakarta
,The women mpovements,,Harvester Wheatsheaf,0-7108-0785-6,Leiden
,Ilmu meracik obat : teori dan praktik,,Gramedia Pustaka Utama,979-420-432-3,Yogyakarta
,Buku pelajaran teknologi farmasi,,Erlangga,979-420-296-7,Yogyakarta
,Apa yang perlu diketahui ttg obat,,Gramedia Pustaka Utama,979-420-529-X,Yogyakarta
,Women in western political philosophy,,Wheatsheaf Books,0-7108-0726-0,New York
,Analisis farmasi : metode modern,,AUP,979-8007-30-1,Surabaya
,Peran kaum wanita,,Gramedia Pustaka Utama,979-413-586-0,Yogyakarta
,Metode Numerik,,Informatika Bandung,979-3338- 09 -1,Bandung
,Identifikasi obat,,Gramedia Pustaka Utama,979-9299-68-3,Bandung
,Pengantar analisis kompleks,,ITB Bandung,979-8001-81-8,Bandung
,Analisis kompleks dan penerapan,,Dewan bahasa dan pustaka,983-62-1998-6,Kuala lumpur
,Konsensus politik,,Depdiknas,979-8439-34-1,Jakarta
,Be A smart teenager,,PT. Elex Media Komputindo,978-979-27-4459-0,Jakarta
,Buku teks Wilson dan Gisvold kimia farmasi dan medisinal organik,,Ikip Semarang Press,979-8107-33-0,Semarang
,Seni Rupa Penyadaran,,Bentang,979-8793-26-0,Yogyakarta
,Teori dan praktek farmasi industri,,Gramedia Pustaka Utama,979-456-120-7,Jakarta
,Contemporary Composition,,Palo Alto,0-395-40282-43-21214,Boston
,Beberapa teori sosiologi tentang struktur masyarakat,,Rajawali Pers,979-421-235-0,Jakarta
,Warna ; teori dan kreativitas Penggunaannya,,ITB Bandung,979-9299-51-9,Bandung
,Tone Measurements Of Outstanding Javanese Gamelans In Yogyakarta And Surakarta,,Gadjah Mada University Press,979-420-273-8,Yogyakarta
,Tenis Meja ; Tingkat Pemula,,PT. Rajagrafindo Persada,979-421-539-7,Jakarta
,Kimia medisinal,,Gramedia Pustaka Utama,979-8007-77-8,Surabaya
,Obat asli Indonesia,,PT. Dian Rakyat,979-523-448-x,Jakarta
,Economics,,Richard irwin,0-256-02486-3,Jakarta
,Kalkulus dengan geometri analisis,,Dewan bahasa dan pustaka,983-62-0758-9,Kualalumpur
,Budaya indonesia : kajian arkeologi seni dan sejarah,,Gramedia Pustaka Utama,979-769-043-1,Jakarta
,Ilmu budaya dasar,,Gramedia Pustaka Utama,979-518-198-X,Jakarta
,Ilmu ukur tanah,,Kanisius,979-413-219-5,Yogyakarta
,Konsep dasar farmakologi : panduan untuk mahasiswa,,Gramedia Pustaka Utama,978-979-448-915-4,Jakarta
,Mirror for humanity : a concise introduction to cultural anthropology,,Gramedia Pustaka Utama,0-07-297328-5,Jakarta
,Ilmu dan alat ukur tanah,,Kanisius,979-413-230-6,Yogyakarta
,Ilmu budaya dasar,,Djambatan,979-526-048-0,Jakarta
,Analisis obat secara kromatografi dan mikroskopi,,Gramedia Pustaka Utama,979-3507-15-2,Bandung
,Ibu bijak menghasilkan anak-anak hebat,,PT. Elex Media Komputindo,978-979-27-63,Jakarta
,Pengantar antropologi pokok pokok etnografi II,,Gramedia Pustaka Utama,979-518-663-9,Jakarta
,Pedoman pelaksanaan pendidikan pancasila pada perguruan tinggi,,Gramedia Pustaka Utama,979-421-450-7,Jakarta
,Outward appearances : trend identitas kepentingan,,LKis,979-9492-95-5,Yogyakarta
,Kambing hitam teori rene girard,,Gramedia Pustaka Utama,979-22-2089-5,Jakarta
,Antropologi sosial budaya,,Gramedia Pustaka Utama,979-518-947-6,Jakarta
,Manusia & kebudayaan dalam perspektif ilmu budaya dasar,,Gramedia Pustaka Utama,979-518-565-9,Jakarta
,Ilmu budaya dasar,,Eresco,979-8020-39-1,Bandung
,Fotografi udara,,Universitas Gadjah Mada,979-420-221-5,Yogyakarta
,Trori-teori psikologi,,Nusa media,979-245625-2,Bandung
,Pengantar sosiologi politik,,Gramedia Pustaka Utama,979-518-437-7,Jakarta
,The cement of society a study of social order,,Cambridge University Press,0-521-37456-1,Bandung
,Ilmu budaya dasar dan kebudayaan,,Gramedia Pustaka Utama,979-605-127-3,Jakarta
,Research in urban sociology,,Jai Press iNC,1-55938-580-4,Leiden
,The structure of scientific revolutions : peran paradigma dalam revolusi sains,,Gramedia Pustaka Utama,979-514-218-6,Bandung
,Kesaksian intelektual,,Paramadina,979-772-001-2,Jakarta
,"Ilmu, teori dan filsafat komunikasi",,Citra Aditya Bakti,979-414-651-X,Bandung
,Wanita dan keluarga,,Kanisius,979-413-496-1,Yogyakarta
,Besiru : revitalisasi banjar di lombok,,Nala Cipta Litera,978-602-8003-03-2,Makasar
,The adolescent,,Allyn and bacon,0-205-14125-0,Jakarta
,Pengantar sosiologi politik,,Gramedia Pustaka Utama,979-421-020-X,Jakarta
,Sosiologi politik,,Gramedia Pustaka Utama,979-421-178-8,Jakarta
,Semiotika budaya,,Fakultas Ekonomi UI,979-3546-01,Jakarta
,Sosiologi politik,,Gramedia Pustaka Utama,979-518-257-9,Jakarta
,Tanya jawab ilmu budaya dasar,,Priastu,979-518-708-2,Jakarta
,Sociology : An Introduction,,Lehigh press,0-06-046699-5,Bandung
,Matematika teknik,,Erlangga,979-688-999-4,Jakarta
,Sociology,,Gramedia Pustaka Utama,0-07-292197-8,Jakarta
,"Cultural anthropology : Tribes, states, and the global system",,Mayfield Publishing Company,0-7674-1194-3,Leiden
,Housekeeping Hotel,,Gramedia Pustaka Utama,979-731-210-0,Yogyakarta
,probalitas dan statistika dalam ilmu rekayasa dan manajemen,,Universitas Indonesia,979-456-033-2,Jakarta
,Housekeeping Hotel Public Are/houseman Section,,Gramedia Pustaka Utama,979-763-575-9,Yogyakarta
,Housekeeping hotel;problem solving & terminologi,,Gramedia Pustaka Utama,978-979-8433-71-9,Yogyakarta
,Pengantar kromotografi,,Gramedia Pustaka Utama,979-8001-45-1,Bandung
,Kimia dan biologi antibiotik B-laktam : penisilin dan sefalosporin,,Academic Press,0-12-506303-2,Leiden
,Applying cultural anthropology an introductory reader,,Gramedia Pustaka Utama,0-7674-1837-9,Leiden
,Analisis obat secara kromatografi dan mikroskopi,,Gramedia Pustaka Utama,979-3507-15-2,Bandung
,Cultural anthropology understanding ourselves & others,,Mc Graw Hill Higher,0-07-246017-2,Leiden
,Standarisasi bahan obat alam,,Graha ilmu,978-979-756-698-2,Yogyakarta
,Anak supernormal dan program pendidikannya,,Djambatan,979-526-615-2,Yogyakarta
,Human communication : prinsip-prinsip dasar,,Gramedia Pustaka Utama,979-514-577-0,Bandung
,Buku pelajaran teknologi frmasi,,Gramedia Pustaka Utama,979-420-296-7,Yogyakarta
,"Obat sintetik : buku ajar dan buku pegangan tinjauan, sitetis, biotransformasi, analisis",,Gramedia Pustaka Utama,979-420-235-5,Yogyakarta
,"Reformasi bidang kesehatan : sembuh tanpa obat, tanpa jamu, tanpa suntik, tanpa operasi, dan bukan majik dengan ATFG-8",,ATFG Brothers,979-98608-06,Bandung
,Obat dan wanita,,Gramedia Pustaka Utama,979-3507-45-4,Bandung
,Etnis tionghoa dan pembangunan bangsa,,Erlangga,979-8391-76-4,Jakarta
,Drugs and society : behavioral medicines and abusable drugs,,Prentice Hall,0-13-221623-x,Jakarta
,Riwayat penyakit & pemeriksaan jasmani,,Gramedia Pustaka Utama,979-518-627-2,Jakarta
,Hikata reiki 1 : tehnik penyembuhan paling ampuh yang konon hanya dipakai para kaisar dan keluarganya,,PT. Elex Media Komputindo,979-20-3380-7,Jakarta
,Laporan kongres pemuda Indonesia pertama,,Perpusnas,979-8311-01-9,Jakarta
,Filsafat kebudayaan sebuah pengantar,,Gramedia Pustaka Utama,979-413-195-4,Jakarta
,Perubahan kebudayaan dan masyarakat dalam pembangunan,,Ikip Semarang Press,979-8107-41-1,Surabaya
,Child care & development,,John Murray,0-7195-5314-8,London
,Ghild development,,Gramedia Pustaka Utama,0-697-36215-9,Leiden
,"The social cinstruction of diffrence and inequality race,class,gender, and sexuality",,Mayfield publishing,0-7674-1167-6,"Ciracas,Jakarta"
,Sosiologi pendidikan,,Djambatan,979-526-200-9,Jakarta
,Ilmu budaya dasar suatu pengantar,,PT. Refika Aditama,979-8020-39-1,Bandung
,Ilmu budaya dasar suatu pengantar,,Gramedia Pustaka Utama,979-8020-39-1,Bandung
,Feminist politics and human nature,,Rowman & Littlefield Publishers,0-7108-0653-1,Jakarta
,Komunitas tionghoa di surabaya 1900-1946,,Mesiass,979-96911-4-1,Surabaya
,Probalitas variabel random dan proses stokastik,,Gadjah Mada University Press,979-420-228-2,Yogyakarta
,Filsafat kebudayaan sebuah pengantar,,Gramedia Pustaka Utama,979-413-195-4,Yogyakarta
,Kelompok etnik dan batasannya,,Gramedia Pustaka Utama,979-456-018-9,Jakarta
,Kumpulan data klinik farmakologi,,Gramedia Pustaka Utama,979-420-279-7,Yogyakarta
,Efidemikologi penyakit tdk menular,,Gramedia Pustaka Utama,979-518-710-4,Jakarta
,Women and ideology in the soviet union,,Gajah mada university press,0-7450-0669-8,Bandung
,Kapita selekta : hematologi,,EGC,979-448-697-3,Jakarta
,Refleksiologi : penyembuhan penyakit dengan pijat pembuluh darah dan pusat saraf,,Gramedia Pustaka Utama,979-518-822-4,Jakarta
,Feminist philosophies,,Gajah mada university press,0-7450-1361-9,Bandung
,The social bases of politics,,Tiara Wacana,0-534-06864-2,Jakarta
,Riwayat penyakit & pemeriksaan jasmani,,reneka cipta,979-518-627-2,Jakarta
,Crisis in american institutions,,Brown and company,0-316-79692-1,Jakarta
,Modern south africa,,Gramedia Pustaka Utama,0-07-235211-6,Bandung
,Belajar dan Berlatih : Atletik,,CV. Pionir Jaya,979542147-6,Bandung
,The family sosiety and the individual,,HarperCollins,0-06-043287-x,Bandung
,Compliance ideologies : Rethinking political culture,,Tiara Wacana,0-521-41581-0,Bandung
,Theory of societal constitutionalism : foundations of a nan-marxist critical theory,,Tiara Wacana,0-521-41040-1,Jakarta
,Formasi & struktur gerakan sosial petani,,UMM Press,979-3602-65-1,Malang
,Model pembelajaran terpadu dalam teori & praktek,,Prestasi Pustaka,978-979-1101-39-4,Jakarta
,Proses Belajar Mengajar,,Remaja Rosdakarya,979-514-108-2,Bandung
,Belajar dan pembelajaran,,Gramedia Pustaka Utama,979-518-823-2,Jakarta
,Enafsirkan Teks ; Pengantar Kritis Kepada Teori dan Praktek Penafsiran Sastra,,Ikip Semarang Press,0-7450-0652-3,Semarang
,Culture and society,,Tiara Wacana,0-521-35086-7,Australia
,Sosiologi agama suatu pengenalan awal,,Gramedia Pustaka Utama,979-421-130-3,Jakarta
,Pengantar Sosiolinguistik,,PT. Refika Aditama,979-1073-37-6,Bandung
,Panduan praktis mengolah gambar dan mendesain menggunakan corel Photo-paint x3 untuk pemula,,M2S Bandung,979-3265-79-5,Bandung
,Pembangunan lembaga & pembangunan nasional: dari konsep ke aplikasi,,Fakultas Ekonomi UI,979-8034-53-8,Jakarta
,Struktur data dan pemrograman dengan pascal,,Andi Offset,979-731-446-4,Yogyakarta
,Pembangunan lembaga & pembangunan nasional: dari konsep ke aplikasi,,UI Press,979-8034-53-8,Jakarta
,Applied C:An introduction and more,,Gramedia Pustaka Utama,0-07-021748-3,Amerika
,An introduction to computer science using java,,Mc Graw Hill Higher,0-07-232305-1,Amerika
,Orang mandar orang laut,,Gramedia Pustaka Utama,979-91-0027-5,Jakarta
,Racun & keracunan,,widyamedika,979-519-076-8,Jakarta
,Pengantar umum toksikologi,,Gramedia Pustaka Utama,979-420-070-0,Yogyakarta
,Buku pedoman terapi diet dan nutrisi,,HIpokrates,979-492-086-X,Jakarta
,Bila suami istri bekerja,,Gramedia Pustaka Utama,979-413-256-x,Yogyakarta
,Sosiologi keluarga tentang ikhwal keluarga remaja dan anak,,Gramedia Pustaka Utama,979-518-114-9,Jakarta
,Agama dalam analisis dan interpretasi sosiologis,,Gramedia Pustaka Utama,979-421-126-5,Jakarta
,Kesehatan dan Gizi,,Rineka Cipta,979-518-827-5,Jakarta
,Altered loves : mothers and daughters during adolescence,,Gajah mada university press,0-7450-0667-1,Bandung
,Parenting untuk orang tua sibuk,,Gramedia Pustaka Utama,978-979-27-7962-2,Jakarta
,Saat berharga untuk anak kita,,Pro-U Media,979-1273-54-5,Yogyakarta
,Gender family & society,,Gramedia Pustaka Utama,0-333-52430-6,Leiden
,Peranan orang tua dalam pendidikan seks,,Rajawali Pers,979-421-006-4,Jakarta
,Community care for older people : a comparative perspective,,Gramedia Pustaka Utama,0-333-54934-1,Bandung
,Teach your child math,,Lowell House,0-929923-32-4,Los Angeles
,Gawat darurat di bidang penyakit dalam,,EGC,979-448-437-7,Jakarta
,Buku ajar ilmu penyakit dalam,,FKUI,979-496-250-3,Jakarta
,Antropologi kesehatan Indonesia : pengobatan tradusional,,EGC,979-448-189-0,Jakarta
,Saatnya anak membangkan dan bertingkah laku kasar; bagaimana memahami dan mengatasiya?,,Studia Press,979-3760-31-1,Jakarta
,Strategi pengembangan anak kreativitas pada anak;usia taman kanak-kanak,,Gramedia Pustaka Utama,978-979-1486-91-0,Jakarta
,Antropologi kesehatan,,Fakultas Ekonomi UI,979-8034-16-3,Jakarta
,Housekeeping Hotel; floor section,,Gramedia Pustaka Utama,979-731-827-3,Yogyakarta
,Prinsip-prinsip ilmu penyakit dalam,,EGC,979-448-458-x,Jakarta
,Akuntansi Intermediate,,Gramedia Pustaka Utama,979-688-450-X,Jakarta
,Prinsip dasar kebijakan pembangunan berkelanjutan berwawasan lingkungan,,Djambatan,979-010-062-0,Jakarta
,Toksikologi dasar,,UGM Press,0-8121-0647-4,Yogyakarta
,Industrial toxiocology : safety and health applications in the workplace,,Van Nostrand Reinhold,0-442-23541-0,New York
,Pokok-pokok materi statistik 2 = statistik inferensif,,Bumi aksara,979-562-778-7,Jakarta
,Metode Statistik nonparametrik Terapan,,Universitas Indonesia,979-456-082-0,Jakarta
,"Statistika, penerapan metode analisis untuk tabulasi sempurna dan tak sempurna dengan SPSS",,Raja Grafindo Persada,979-421-934-7,Jakarta
,"Dasar-dasar statistika,aneka bidang ilmu pertanian dan hayati",,Raja Grafindo Persada,979-3654-65-1,Jakarta
,Statistik sosial,,Gramedia Pustaka Utama,979-421-239-2,Jakarta
,Aplikasi statistika dan hitung peluang,,Graha ilmu,979-756-096-2,Yogyakarta
,"Rancangan percobaan, teori dan aplikasi",,Raja Grafindo Persada,979-421-295-4,Jakarta
,Teknik penerikan sampel,,Universitas Indonesia,979-456-079-8,Jakarta
,Pemerolehan bahasa asing anak bilingual sunda-indonesia di kotamadya bandung,,Gramedia Pustaka Utama,979-459-958-1,Jakarta
,Sistem sapaan dialek jakarta,,Pusat Pembinaan Pengembangan Bahasa,979-459-417-2,Jakarta
,Unsur kekerabatan dalam tutup sastra nusantara di sumatra selatan,,Pusat Pembinaan Pengembangan Bahasa,979-459-673-6,Jakarta
,Tutorial membuat kreasi gratis dengan CORELDRAW 12,,Wahana Komputer,979-9550-45-9,Semarang
,Algoritma genetikadalam MATLAB,,Andi Offset,979-731-727-7,Yogyakarta
,Sosiolinguistik,,SABDA,979-9483-85-9,Yogyakarta
,Kesadaran bahasa kritis,,Ikip Semarang Press,0-582-06467-8,Surabaya
,Program terpadu operasi onal dan akuntansi Siap pakai K- SYSTEM for Windows dan Linux,,Andi Offset,979-731-626-2,Yogyakarta
,Sosiolinguistik perkenalan awal,,Gramedia Pustaka Utama,979-518-647-7,Jakarta
,Tutorial 3 hari menggunakan microsoft EXCEL 2003,,Andi Offset,979-731-568-1,Yogyakarta
,Statistik Six Sigma dengan minitab panduan cerdas inisiatif kualitas,,Andi Offset,979-763-554-0,Yogyakarta
,Beberapa teori sosiologi tentang struktur masyarakat,,Gramedia Pustaka Utama,979-421-235-0,Jakarta
,Sepuluh windhu transmigrasi di indonesia 1905-1985,,Gramedia Pustaka Utama,979-8034-17-1,Jakarta
,Dasar-dasar penggunaan Linux Red Hat 7.1,,Andi Offset,979-533-721-6,Yogyakarta
,Cara menghasilkan uang dengan blog,,Andi Offset,979-29-1466-5,Yogyakarta
,Teknik kolaborasi antar program Microsoft Office 2007,,Atas kerjasamaAndi dan MADCOMS,978-979-29-0366-9,Yogyakarta
,Python dan pemrograman Linux,,Andi Offset,979-533-887-0,Yogyakarta
,Paling dicari visual basic 2010,,Wahana Komputer,978-979-29-1676-8,Semarang
,Metodologi Research,,Andi Offset,979-731-449-9,Yogyakarta
,Panduan jitu bimbingan praktikum Microsoft Power Point 2000-2002,,Andi Offset,979-97329-2-1,Yogyakarta
,Statistik Non Parametrik contoh kasus dan pemecahannya dengan SPSS,,Andi Offset,979-731-628-9,Yogyakarta
,Mahir dalam 7 hari Microsoft Word 2003,,Andi Offset,979-731-725-0,Yogyakarta
,Pemprograman DATABASE,,Andi Offset,979-763-344-6,Yogyakarta
,MANAJEMEN DATABESE IDENTITAS,,Gramedia Pustaka Utama,979-731-616-5,Yogyakarta
,MANAJEMEN DATABESE MYSQL,,Gramedia Pustaka Utama,979-731-134-1,Yogyakarta
,PHP DAN MYSQL UNTUK WEB,,Gramedia Pustaka Utama,979-731-118-x,Yogyakarta
,Beyond the marketplance,,Gramedia Pustaka Utama,0-202-30370-5,Bandung
,The sociology of ucs. agriculture : an ecological perspective,,Iowa state university Press,0-8138-0192-3,Jakarta
,Power politics and voting behaviour: an introduction to the sociology of politics,,Harvester Wheatsheaf,0-7450-0538-1,Bandung
,Pengantar sosiologi sastra,,Pustaka pelajar,979-8581-00-8,Yogyakarta
,State and society in bali,,KITLV Press,90-6718-031-9,Bandung
,Advanced accounting,,Sousth-western publishing comp.,0-538-01580-2,"Ciracas,Jakarta"
,MEWNJADI DESAINER PROFESIONAL DENGAN AUTO CAD 2006 2D DAN 3D,,Gramedia Pustaka Utama,979-763-352-7,Yogyakarta
,Perkembangan masyarakat lintas ilmu,,Gramedia Pustaka Utama,979-22-1955-2,Jakarta
,Gerak penduduk pembangunan dan perubahan sosial,,Gramedia Pustaka Utama,979-456-039-1,Jakarta
,PANDUAN PRAKTIS MENGGAMBAR BANGUNAN GEDUNG DENGAN AUTO CAD 2002,,Gramedia Pustaka Utama,979-731-031-0,Yogyakarta
,Between culture and politics,,Polity Press,0-7456-0904-x,Amerika
,Intensive care for nurses,,"Blackwell, Scientific",0-632-00696-X,London
,MEMBUAT ANIMASI WEB DENGAN MACROMEDIA FLASH PROFESSIONAL 8,,Gramedia Pustaka Utama,979-763-507-4,Yogyakarta
,Membangun prakarsa publik : mengawal praktik corporate social responsibility,,IRE Press,979-99090-1-5,Yogyakarta
,Akuntansi intermediate,,Gramedia Pustaka Utama,979-688-451-8,Jakarta
,CARA MUDAH MENGOLAH FILM KELUARGA DENGAN WINDOWS MOVIE MAKER 2.1,,Gramedia Pustaka Utama,979-763-658-5,Yogyakarta
,Harrison's : prinsiples of internal medicine,,Mc Graw Hill Higher,0-07-118321-3,Bandung
,Human motives and cultural models,,Cambridge University Press,0-521-41233-1,Jakarta
,PANDUAN PRAKTIS DENGAN MENGUNAKAN GEDUNG DENGAN AUTO CAD 2002,,Gramedia Pustaka Utama,979-731-031-0,Yogyakarta
,MENGGAMBAR TINGKAT MAHIR DENGAN AUTOCAD 2007,,Gramedia Pustaka Utama,979-763-624-0,Yogyakarta
,"E EDUCATION KONSEP,TEKNOLOGI, DAN APLIKASI INTERNET PENDIDIKAN",,Gramedia Pustaka Utama,978-979-29-0023-1,Yogyakarta
,A forest tribe of borneo,,D.K Printworld,81-246-0193-3,New Delhi
,Ilmu komunikasi pengantar studi,,Gramedia Pustaka Utama,979-518-467-9,Jakarta
,GERAFIK KOMPUTER DENGAN C,,Gramedia Pustaka Utama,979-731-208-9,Jakarta
,HURUF DISPLAY DENGAN KOMPUTER & MANUAL,,Gramedia Pustaka Utama,979-731-816-8,Yogyakarta
,TUTORIAL 3 HARI MENGGUNAKAN MICROSOFT EXCL 2003,,Gramedia Pustaka Utama,979-731-568-1,Yogyakarta
,KImia Dasar,,ITB Bandung,979-8591-69-0,Bandung
,Fisika dasar,,Andi,978-979-29-0238-9,Yogyakarta
,SER BUKU PINTAR MENJADI SEORANG DESAINER WEB,,Gramedia Pustaka Utama,979-731-722-6,Yogyakarta
,STATISTIK SIX SIGMA DENGAN MINITABPANDUAN CERDAS INISIATIF KUALITAS,,Gramedia Pustaka Utama,979-7963-554-6,Yogyakarta
,USG and your baby = manfaat USG untuk menyiapkan kehadiran bayi tercinta anda,,Gramedia Pustaka Utama,979-694-726-9,Jakarta
,VIDIO EDITING DENGAN ADOBE PREMIERE PRO 1.5,,Gramedia Pustaka Utama,979-763-098-6,Yogyakarta
,Patologi klinik untuk kurikulum pendidikan dokter berbsis kompeensi,,Universitas Trisakti,979-8398-96-3,Jakarta
,Teknik radilogi tulang ekstremits atas,,EGC,979-448-666-3,Jakarta
,PEMMROGRAMAN DATABASE DENGAN SQL 2000,,prstasi pustaka,979-24-1033-3,Jakarta
,KUMPULAN TOOL PROTEKSI PC DAN JARINGAN,,Andi,979-763-064-1,Yogyakarta
